L. DO CARRO - LIMOEIRO;16; R$  3,84 
L. DO CARRO - ENCRUZILHADA;39; R$  9,36 
L. DO CARRO - SURUBIM;60; R$  14,40 
LIMOEIRO - ENCRUZILHADA;23; R$  5,52 
LIMOEIRO - SURUBIM;44; R$  10,56 
ENCRUZILHADA - SURUBIM;21; R$  5,04 
RECIFE - MACHADOS;107; R$  21,58 
RECIFE - BAR CHÃ;38; R$  7,66 
RECIFE - PAUDALHO;45; R$  9,07 
RECIFE - CARPINA;57; R$  11,49 
RECIFE - L. DO CARRO;63; R$  12,70 
RECIFE - LIMOEIRO;79; R$  15,93 
RECIFE - MENDES;86; R$  17,34 
RECIFE - BIZARRA;93; R$  18,75 
RECIFE - MACHADOS;107; R$  21,58 
CAMARAGIBE - BAR CHÃ;23; R$  4,64 
CAMARAGIBE - PAUDALHO;30; R$  6,05 
CAMARAGIBE - CARPINA;42; R$  8,47 
CAMARAGIBE - L. DO CARRO;48; R$  9,68 
CAMARAGIBE - LIMOEIRO;64; R$  12,91 
CAMARAGIBE - MENDES;71; R$  14,32 
CAMARAGIBE - BIZARRA;78; R$  15,73 
CAMARAGIBE - MACHADOS;92; R$  18,55 
SÃO LOURENÇO - BAR CHÃ;15; R$  3,02 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
SÃO LOURENÇO - CARPINA;34; R$  6,86 
SÃO LOURENÇO - L. DO CARRO;40; R$  8,07 
SÃO LOURENÇO - LIMOEIRO;56; R$  11,29 
SÃO LOURENÇO - MENDES;63; R$  12,70 
SÃO LOURENÇO - BIZARRA;70; R$  14,12 
SÃO LOURENÇO - MACHADOS;84; R$  16,94 
BAR CHÃ - PAUDALHO;7; R$  3,00 
BAR CHÃ - CARPINA;19; R$  3,83 
BAR CHÃ - L. DO CARRO;25; R$  5,04 
BAR CHÃ - LIMOEIRO;41; R$  8,27 
BAR CHÃ - MENDES;51; R$  10,28 
BAR CHÃ - BIZARRA;58; R$  11,70 
BAR CHÃ - MACHADOS;72; R$  14,52 
PAUDALHO - CARPINA;12; R$  3,00 
PAUDALHO - L. DO CARRO;18; R$  3,63 
PAUDALHO - LIMOEIRO;34; R$  6,86 
PAUDALHO - MENDES;44; R$  8,87 
PAUDALHO - BIZARRA;51; R$  10,28 
PAUDALHO - MACHADOS;65; R$  13,11 
